employee_id,role,top_skill_gap,priority,importance,all_gaps,recommended_tools
1,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
416,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
417,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
418,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
419,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
420,Account Manager,Active Listening,Critical,4.12,Active Listening; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
421,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
422,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
423,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
424,Content Lead,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
425,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
426,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
427,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
428,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
429,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
430,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
431,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
432,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
433,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
434,Support Engineer,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
435,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
436,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
437,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
438,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
439,Seo Analyst,Speaking,Critical,3.88,Speaking; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
440,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
441,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
442,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
443,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
444,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
445,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
446,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
447,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
448,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
449,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
450,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
451,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
452,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
453,Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
454,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
455,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
456,Content Lead,Reading Comprehension,Critical,4.12,Reading Comprehension; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
457,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
458,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
459,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
460,Seo Analyst,Reading Comprehension,Critical,4.0,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
461,Accountant,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
462,Support Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
463,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
464,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
465,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
466,Developer,Active Listening,Critical,3.38,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
467,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
468,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
469,Auditor,Active Listening,Critical,3.5,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
470,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
471,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
472,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
473,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
474,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
475,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
476,Hr Manager,Active Listening,Critical,4.38,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
477,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
478,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
479,Tester,Active Listening,Critical,4.12,Active Listening; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
480,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
481,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
482,Support Engineer,Active Listening,Critical,4.12,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
483,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
484,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
485,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
486,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
487,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
488,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
489,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
490,Hr Manager,Critical Thinking,Critical,4.0,Critical Thinking; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
491,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
492,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
493,Tester,Active Listening,Critical,4.12,Active Listening; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
494,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
495,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
496,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
497,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
498,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
499,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
500,Content Lead,Writing,Critical,4.0,Writing; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
